SESSION,DATE,landmarkid,utme,utmn,clan
S9752,12/1/2012,9km Marker (HZ),717882,9842074,happy zebra
S9753,12/1/2012,Culvert City (HZ),0,0,happy zebra
S9754,12/1/2012,Egyptian Goose (HZ),718691,9840194,happy zebra
S9755,12/1/2012,Egyptian Goose (HZ),718747,9840452,happy zebra
S9756,12/1/2012,Scrawny Sausage Tree (HZ),0,0,happy zebra
S9757,12/1/2012,Hot Tubs (HZ),0,0,happy zebra
S9758,12/2/2012,Culvert City (HZ),0,0,happy zebra
S9759,12/2/2012,Sneaky Crossing (HZ),717132,9841678,happy zebra
S9760,12/2/2012,Comatose Culvert (HZ),718409,9841240,happy zebra
S9761,12/2/2012,Comatose Culvert (HZ),0,0,happy zebra
S9762,12/4/2012,God Bless America Tree (North),720697,9843978,happy zebra
S9763,12/4/2012,Hot Tubs (HZ),0,0,happy zebra
S9764,12/4/2012,LBJ X (HZ?),720081,9839976,happy zebra
S9765,12/4/2012,Culvert City (HZ),0,0,happy zebra
S9766,12/4/2012,Windsor Den (HZ),0,0,happy zebra
S9767,12/4/2012,Culvert City (HZ),0,0,happy zebra
S9768,12/4/2012,Culvert City (HZ),718514,9842768,happy zebra
S9769,12/9/2012,Metropolitan Tree (HZ),716452,9842565,happy zebra
S9770,12/9/2012,Egyptian Goose (HZ),718352,9839649,happy zebra
S9771,12/9/2012,Pride Rock (HZ),0,0,happy zebra
S9771,12/9/2012,Pride Rock (HZ),718103,9839746,happy zebra
S9772,12/13/2012,Rumpy Culvert (HZ),718525,9838312,happy zebra
S9773,12/13/2012,Egyptian Goose (HZ),718281,9839762,happy zebra
S9773,12/13/2012,Pride Rock (HZ),718619,9839471,happy zebra
S9774,12/13/2012,Comatose Culvert (HZ),718157,9841549,happy zebra
S9774,12/13/2012,9km Marker (HZ),0,0,happy zebra
S9774,12/13/2012,Culvert City (HZ),717901,9842402,happy zebra
S9774,12/13/2012,Metropolitan Tree (HZ),716539,9842705,happy zebra
S9774,12/13/2012,Windsor Den (HZ),0,0,happy zebra
S9775,12/13/2012,9km Marker (HZ),717596,9842427,happy zebra
S9776,12/13/2012,Blowin' in the Wind Tree (North),721530,9844577,happy zebra
S9778,12/15/2012,Comatose Culvert (HZ),718194,9841021,happy zebra
S9779,12/15/2012,Comatose Culvert (HZ),718367,9840823,happy zebra
S9780,12/15/2012,Comatose Culvert (HZ),0,0,happy zebra
S9781,12/15/2012,Windsor Den (HZ),0,0,happy zebra
S9781,12/15/2012,Ballerina Tree (South),716920,9842648,happy zebra
S9782,12/17/2012,Windsor Den (HZ),0,0,happy zebra
S9783,12/17/2012,Comatose Culvert (HZ),0,0,happy zebra
S9784,12/17/2012,Comatose Culvert (HZ),718396,9841257,happy zebra
S9785,12/17/2012,Comatose Culvert (HZ),0,0,happy zebra
S9786,12/17/2012,Windsor Den (HZ),0,0,happy zebra
S9787,12/18/2012,Comatose Culvert (HZ),0,0,happy zebra
S9788,12/18/2012,Windsor Den (HZ),0,0,happy zebra
S9789,12/18/2012,Sprout (South),720403,9843585,happy zebra
S9790,12/26/2012,Hot Tubs (HZ),0,0,happy zebra
S9792,12/26/2012,Windsor Den (HZ),0,0,happy zebra
S9793,12/29/2012,Knot Tree (North),0,0,happy zebra
S9794,12/29/2012,Windsor Den (HZ),0,0,happy zebra
S9795,12/29/2012,Culvert City (HZ),0,0,happy zebra
S9796,12/29/2012,Culvert City (HZ),0,0,happy zebra
S9797,12/29/2012,Culvert City (HZ),719089,9842605,happy zebra
S9798,10/1/2012,Nogales Den (HZ),0,0,happy zebra
S9799,10/2/2012,Nogales Den (HZ),0,0,happy zebra
S9799,10/2/2012,Juarez Den (HZ),0,0,happy zebra
S9799,10/2/2012,Nogales Den (HZ),0,0,happy zebra
S9800,10/5/2012,Nogales Den (HZ),0,0,happy zebra
S9801,10/5/2012,Juarez Den (HZ),0,0,happy zebra
S9802,10/5/2012,Nogales Den (HZ),0,0,happy zebra
S9803,10/5/2012,Windsor Den (HZ),0,0,happy zebra
S9804,10/6/2012,Juarez Den (HZ),0,0,happy zebra
S9805,10/8/2012,Comatose Culvert (HZ),0,0,happy zebra
S9806,10/10/2012,Comatose Culvert (HZ),0,0,happy zebra
S9807,10/10/2012,Juarez Den (HZ),716372,9842426,happy zebra
S9808,10/16/2012,Culvert City (HZ),718127,9842458,happy zebra
S9810,10/16/2012,Comatose Culvert (HZ),0,0,happy zebra
S9811,10/16/2012,Burnt Crossing (Olare?),715971,9842214,happy zebra
S9812,10/16/2012,Sausage Tree (),719927,9839112,happy zebra
S9813,10/16/2012,Comatose Culvert (HZ),0,0,happy zebra
S9814,10/18/2012,Knot Tree (North),0,0,happy zebra
S9815,10/18/2012,Culvert City (HZ),0,0,happy zebra
S9815,10/18/2012,9km Marker (HZ),0,0,happy zebra
S9815,10/18/2012,Breakfast Bush (North),718784,9841202,happy zebra
S9816,10/20/2012,Culvert City (HZ),0,0,happy zebra
S9817,10/20/2012,Culvert City (HZ),0,0,happy zebra
S9818,10/21/2012,Culvert City (HZ),0,0,happy zebra
S9819,10/21/2012,Metropolitan Tree (HZ),716394,9842592,happy zebra
S9985,2/11/2013,Schiphol Den (North),0,0,happy zebra
S10294,2/16/2013,National Corn Chip Day Den (North),0,0,happy zebra
S10295,2/16/2013,Schiphol Den (North),0,0,happy zebra
S10322,2/24/2013,Lalalugga (North),724288,9846534,happy zebra
S10428,3/18/2013,Lion Cub Culvert (North),721259,9848670,happy zebra
S10806,6/20/2013,Dead Elephant Log (North),721881,9854533,happy zebra
S10806,6/20/2013,Dead Elephant Log (North),0,0,happy zebra
S10806,6/20/2013,Dead Elephant Log (North),721891,9855163,happy zebra
S10839,6/24/2013,Dead Elephant Log (North),721844,9854811,happy zebra
S10844,6/24/2013,Dead Elephant Log (North),721935,9855150,happy zebra
S10862,6/27/2013,Woods Spot (),721312,9853093,happy zebra
S12115,12/21/2013,Boone Den (South),0,0,happy zebra
S12154,1/5/2013,Windsor Den (HZ),0,0,happy zebra
S12155,1/11/2013,Culvert City (HZ),0,0,happy zebra
S12156,1/11/2013,Metropolitan Tree (HZ),715867,9842756,happy zebra
S12157,1/11/2013,Culvert City (HZ),0,0,happy zebra
S12158,11/13/2013,Windsor Den (HZ),0,0,happy zebra
S12159,1/13/2013,Culvert City (HZ),717832,9842388,happy zebra
S12160,1/16/2013,Blowin' in the Wind Tree (North),721494,9844500,happy zebra
S12161,1/16/2013,Knot Tree (North),0,0,happy zebra
S12162,1/16/2013,Long Gardenia Tree (),718235,9843735,happy zebra
S12163,1/19/2013,Knot Tree (North),719282,9842536,happy zebra
S12164,1/23/2013,Comatose Culvert (HZ),0,0,happy zebra
S12165,1/23/2013,Sausage Tree (),720058,9839351,happy zebra
S12166,1/27/2013,Ambush Gardenia (),717949,9843753,happy zebra
S12167,2/1/2013,Holy Grail Den (HZ),0,0,happy zebra
S12168,2/2/2013,Egyptian Goose (HZ),718475,9840747,happy zebra
S12169,2/2/2013,Holy Grail Den (HZ),0,0,happy zebra
S12170,2/3/2013,Holy Grail Den (HZ),0,0,happy zebra
S12171,2/3/2013,Holy Grail Den (HZ),719280,9839856,happy zebra
S12171,2/3/2013,Holy Grail Den (HZ),719623,9839485,happy zebra
S12172,2/5/2013,Holy Grail Den (HZ),0,0,happy zebra
S12172,2/5/2013,Holy Grail Den (HZ),719256,9840252,happy zebra
S12172,2/5/2013,Holy Grail Den (HZ),718793,9840528,happy zebra
S12172,2/5/2013,Egyptian Goose (HZ),718377,9840800,happy zebra
