SESSION,DATE,landmarkid,utme,utmn
102247,10/9/2012,Atlas Tree (Prozac),737102,9842242
102248,10/9/2012,Topi Swamp (Prozac),737226,9841817
102249,10/9/2012,Nose Tree (Fig Tree),742005,9841180
102246,10/9/2012,Twisted Tree (Prozac),737505,9842118
102252,10/13/2012,Twisted Tree (Prozac),0,0
102253,10/13/2012,Kinua Crossing (Fig Tree),739617,9838370
102251,10/13/2012,Odd Couple (Prozac),0,0
102250,10/13/2012,Topi Swamp (Prozac),737312,9842232
102250,10/13/2012,Atlas Tree (Prozac),737119,9842254
102254,10/13/2012,Diamond Crossing (Fig Tree),0,0
102258,10/17/2012,Murram Pit Lugga-East Fork (Fig Tree),740831,9841284
102255,10/17/2012,Topi Swamp (Prozac),737350,9842030
102255,10/17/2012,Topi Swamp (Prozac),737446,9842098
102256,10/17/2012,Maji Mbali (Prozac),736681,9841990
102256,10/17/2012,Maji Mbali (Prozac),736780,9841938
102257,10/17/2012,Maji Mbali (Prozac),736488,9842000
102257,10/17/2012,Maji Mbali (Prozac),736490,9841926
102260,10/18/2012,Maji Mbali (Prozac),736496,9842008
102260,10/18/2012,Atlas Tree (Prozac),736678,9842130
102259,10/18/2012,Buffalo Lugga (Fig Tree),737912,9841926
102260,10/18/2012,Atlas Tree (Prozac),736799,9842191
102260,10/18/2012,Atlas Tree (Prozac),736991,9842185
102266,10/19/2012,Big Bend Crossing (Talek),742705,9839301
102261,10/19/2012,Frida Tree (Fig Tree),740436,9844823
102262,10/19/2012,Maji Mbali (Prozac),736495,9841997
102263,10/19/2012,Atlas Tree (Prozac),736750,9842224
102264,10/19/2012,Atlas Tree (Prozac),0,0
102265,10/19/2012,Maji Mbali (Prozac),0,0
102273,10/20/2012,Diamond Crossing (Fig Tree),739825,9838090
102272,10/20/2012,Chung Chung Magitek Armor Crossing (Fig Tree),738368,9837004
102271,10/20/2012,It's About Effing Time Crossing (Fig Tree),737079,987701
102270,10/20/2012,Charcoal Tree (Prozac),0,0
102269,10/20/2012,Maji Mbali (Prozac),0,0
102267,10/20/2012,Tawny Tree (Talek),742834,9840501
102268,10/20/2012,Nose Tree (Fig Tree),742185,9840429
102275,10/21/2012,Maji Mbali (Prozac),0,0
102277,10/21/2012,Desert Island Tree (Prozac),735792,9839690
102276,10/21/2012,Desert Island Tree (Prozac),735909,9840122
102274,10/21/2012,Maji Mbali (Prozac),736002,9842236
102274,10/21/2012,Maji Mbali (Prozac),736171,9841972
102274,10/21/2012,Maji Mbali (Prozac),0,0
102278,10/22/2012,Murram Pit Lugga-West Fork (Fig Tree),0,0
102279,10/22/2012,Maji Mbali (Prozac),736450,9841917
102279,10/22/2012,Atlas Tree (Prozac),736392,9842375
102280,10/22/2012,Topi Swamp (Prozac),737076,9841520
102280,10/22/2012,Maji Mbali (Prozac),736930,9841451
102281,10/22/2012,Buffalo Lugga High Crossing (Prozac),738877,9841423
102284,10/24/2012,Buffalo Lugga Low Crossing (Prozac),738670,9842470
102282,10/24/2012,Gomer's Lugga (Fig Tree),742956,9841408
102283,10/24/2012,Murram Pit Lugga-East Fork (Fig Tree),740727,9841981
102285,10/25/2012,Mad Hatter (Prozac),735311,9841289
102286,10/25/2012,Umbrella Tree (Prozac),736074,9841085
102287,10/26/2012,Atlas Tree (Prozac),736767,9842652
102288,11/11/2012,Umbrella Tree (Prozac),0,0
102289,11/11/2012,Sabre Gateway X (Fig Tree),0,0
102290,11/13/2012,Topi Swamp (Prozac),737419,9841696
102291,11/15/2012,Chung Chung Magitek Armor Crossing (Fig Tree),737852,9837980
102292,11/17/2012,Chung Chung Magitek Armor Crossing (Fig Tree),738686,9838442
