Easting,Northing,Clan,Count,Date,Year,Month,Day,Time
718631,9840714,HZ,2,9/29/2012,2012,9,29,6:35
749715,9835059,TW,1,9/30/2012,2012,9,30,7:00
721023,9847008,SN,2,10/1/2012,2012,10,1,19:21
748591,9836193,TW,2,10/8/2012,2012,10,8,8:37
747868,9833676,TW,2,10/11/2012,2012,10,11,18:34
733197,9842221,MR,2,10/11/2012,2012,10,11,7:16
733185,9842212,MR,1,10/11/2012,2012,10,11,7:17
744979,9839149,TW,2,10/12/2012,2012,10,12,7:15
746523,9834858,TW,1,10/12/2012,2012,10,12,7:48
746541,9838136,TW,1,10/15/2012,2012,10,15,19:17
718127,9842458,HZ,1,10/16/2012,2012,10,16,6:04
751738,9837592,TW,2,10/18/2012,2012,10,18,5:38
751530,9837604,TW,2,10/18/2012,2012,10,18,17:13
749852,9835072,TW,2,10/18/2012,2012,10,18,7:56
744354,9840015,TW,2,10/18/2012,2012,10,18,17:38
725285,9842790,SS,2,10/18/2012,2012,10,18,17:16
747008,9835842,TW,2,10/19/2012,2012,10,19,6:56
740436,9844823,FT,5,10/19/2012,2012,10,19,5:49
749482,9834506,TW,1,10/20/2012,2012,10,20,7:06
747880,9835456,TW,1,10/20/2012,2012,10,20,6:31
742866,9839244,TW,2,10/20/2012,2012,10,20,18:36
742185,9840429,FT,1,10/20/2012,2012,10,20,6:25
725109,9842346,SS,2,10/20/2012,2012,10,20,19:15
725278,9843780,SS,2,10/20/2012,2012,10,20,19:18
746397,9838510,TW,1,10/22/2012,2012,10,22,17:33
743262,9839242,TW,2,10/22/2012,2012,10,22,7:55
750339,9834710,TW,1,10/22/2012,2012,10,22,18:02
746719,9836884,TW,1,10/22/2012,2012,10,22,18:57
723036,9844844,SN,2,10/22/2012,2012,10,22,20:48
726291,9842340,SS,2,10/22/2012,2012,10,22,8:26
744971,9839348,TW,2,10/24/2012,2012,10,24,17:32
747371,9836013,TW,2,10/24/2012,2012,10,24,7:29
744723,9839532,TW,1,10/25/2012,2012,10,25,16:31
734932,9842156,MR,2,10/25/2012,2012,10,25,17:28
744923,9839381,TW,1,10/27/2012,2012,10,27,6:51
746480,9837701,TW,1,10/29/2012,2012,10,29,18:10
744307,9838557,TW,2,11/4/2012,2012,11,4,17:53
725327,9843114,SS,1,11/5/2012,2012,11,5,17:19
716408,9842522,HZ,2,11/5/2012,2012,11,5,7:21
720405,9847540,SN,2,11/6/2012,2012,11,6,16:50
747426,9835726,TW,1,11/7/2012,2012,11,7,7:27
720649,9848306,SN,2,11/8/2012,2012,11,8,5:41
720191,9847503,SN,2,11/8/2012,2012,11,8,7:46
718915,9838336,HZ,2,11/8/2012,2012,11,8,7:49
746269,9838353,TW,2,11/10/2012,2012,11,10,18:53
723779,9846949,SN,2,11/10/2012,2012,11,10,17:09
720736,9847537,SN,2,11/10/2012,2012,11,10,17:19
748084,9834812,TW,2,11/11/2012,2012,11,11,17:57
729866,9839526,MR,2,11/11/2012,2012,11,11,7:18
733629,9842152,MR,2,11/11/2012,2012,11,11,8:09
726227,9842512,SS,1,11/11/2012,2012,11,11,17:28
727500,9841128,SS,2,11/11/2012,2012,11,11,17:50
748966,9836498,TW,1,11/12/2012,2012,11,12,7:08
746587,9837065,TW,1,11/12/2012,2012,11,12,19:07
721017,9847409,SN,2,11/12/2012,2012,11,12,16:15
724522,9846764,SN,5,11/12/2012,2012,11,12,19:20
747317,9834650,TW,2,11/14/2012,2012,11,14,7:40
727377,9840658,SS,2,11/14/2012,2012,11,14,17:29
718836,9836858,HZ,2,11/14/2012,2012,11,14,6:03
719588,9838739,HZ,2,11/14/2012,2012,11,14,6:15
718854,9840365,HZ,2,11/14/2012,2012,11,14,8:28
731497,9841193,MR,3,11/15/2012,2012,11,15,6:17
730098,9838645,MR,3,11/15/2012,2012,11,15,6:59
731445,9841719,MR,2,11/15/2012,2012,11,15,7:25
745180,9839178,TW,1,11/16/2012,2012,11,16,19:33
726796,9841038,SS,2,11/17/2012,2012,11,17,5:56
727379,9840255,SS,2,11/17/2012,2012,11,17,6:37
719151,9838326,HZ,2,11/17/2012,2012,11,17,7:27
746729,9837810,TW,1,11/18/2012,2012,11,18,7:51
726907,9840336,SS,2,11/18/2012,2012,11,18,17:58
726866,9840528,SS,2,11/18/2012,2012,11,18,18:12
726560,9840388,SS,2,11/18/2012,2012,11,18,18:35
718735,9837818,HZ,2,11/19/2012,2012,11,19,18:01
745159,9838256,TW,2,11/20/2012,2012,11,20,18:27
726299,9842427,SS,2,11/21/2012,2012,11,21,8:31
721106,9847572,SN,1,11/22/2012,2012,11,22,7:34
721279,9848216,SN,1,11/22/2012,2012,11,22,7:39
751530,9837604,TW,1,11/24/2012,2012,11,24,20:11
727861,9840408,SS,2,11/24/2012,2012,11,24,5:53
745625,9838460,TW,4,11/25/2012,2012,11,25,6:10
751530,9837604,TW,4,11/25/2012,2012,11,25,20:33
738351,9837958,FT,1,11/25/2012,2012,11,25,18:32
745902,9838926,TW,1,11/26/2012,2012,11,26,19:22
732038,9840270,MR,2,11/26/2012,2012,11,26,7:00
733616,9842009,MR,3,11/26/2012,2012,11,26,7:34
724516,9846064,SN,1,11/26/2012,2012,11,26,17:03
727333,9840695,SS,2,11/26/2012,2012,11,26,6:25
748444,9836207,TW,2,11/27/2012,2012,11,27,6:24
751530,9837604,TW,4,11/27/2012,2012,11,27,21:04
