"","year","month","UTME","UTMN"
"613",2012,7,743852,9840260
"614",2012,7,743852,9840260
"615",2012,7,743979,9841138
"616",2012,7,742032,9840414
"617",2012,7,742727,9840316
"618",2012,7,741195,9840476
"619",2012,7,741195,9840476
"620",2012,7,743002,9840481
"621",2012,7,741603,9840958
"622",2012,7,741195,9840667
"623",2012,7,741195,9840476
"624",2012,7,740398,9838532
"625",2012,7,740909,9838884
"626",2012,7,741195,9840476
"627",2012,7,741195,9840476
"628",2012,7,741195,9840476
"629",2012,7,741414,9840418
"630",2012,7,742814,9840344
"631",2012,7,741195,9840476
"632",2012,7,739640,9841404
"633",2012,7,741835,9840430
"634",2012,7,741195,9840476
"635",2012,7,740040,9840144
"636",2012,7,741580,9840413
"637",2012,7,740786,9842094
"638",2012,7,741195,9840476
"639",2012,7,740257,9840234
"640",2012,7,741195,9840476
"641",2012,7,742873,9840357
"642",2012,7,741195,9840476
"643",2012,7,740269,9840230
"644",2012,7,741195,9840476
"645",2012,7,740269,9840230
"646",2012,7,741195,9840476
"647",2012,7,741195,9840476
"648",2012,7,740807,9841756
"649",2012,7,740983,9841762
"650",2012,7,742332,9840956
"651",2012,7,741195,9840476
"652",2012,7,741956,9841178
"653",2012,7,742900,9841091
"654",2012,7,741195,9840476
"655",2012,7,742326,9840391
"656",2012,7,743064,9840363
"657",2012,7,741195,9840476
"658",2012,7,742830,9840662
"659",2012,7,741195,9840476
"660",2012,7,741209,9841014
"661",2012,7,741195,9840476
"662",2012,7,740887,9840320
"663",2012,7,741195,9840476
"664",2012,7,741195,9840476
"665",2012,7,740149,9840210
"666",2012,7,741183,9841502
"667",2012,7,740247,9840217
"668",2012,7,739704,9839953
"669",2012,7,739194,9840250
"670",2012,7,739569,9839985
"671",2012,7,741195,9840476
"672",2012,7,739339,9840210
"673",2012,7,741195,9840476
"674",2012,7,742297,9840958
"675",2012,7,741195,9840476
"676",2012,7,740001,9840220
"677",2012,7,741195,9840476
"678",2012,7,743040,9840342
"679",2012,7,740203,9840082
"680",2012,7,741195,9840476
"681",2012,7,741195,9840476
"682",2012,7,740252,9840229
"683",2012,7,741419,9841174
"684",2012,7,742530,9840911
"685",2012,7,742577,9840849
"686",2012,7,741195,9840476
"687",2012,7,742591,9841454
"688",2012,7,741195,9840476
"689",2012,7,741195,9840476
"690",2012,7,740249,9840236
"691",2012,7,740598,9840300
"692",2012,7,740826,9840330
"693",2012,7,740249,9840236
"694",2012,7,740203,9840082
"695",2012,7,741195,9840476
"696",2012,7,741195,9840476
"697",2012,7,741178,9840370
"698",2012,7,740212,9840084
"699",2012,7,740203,9840082
"700",2012,7,740848,9840332
"701",2012,7,741195,9840476
"702",2012,7,741195,9840476
"703",2012,7,740915,9840338
"704",2012,7,740212,9840084
"705",2012,7,740203,9840082
"706",2012,7,741195,9840476
"707",2012,7,740411,9839629
"708",2012,7,741226,9840377
"709",2012,7,741387,9841681
"710",2012,7,741860,9842062
